"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 14, 29
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\angular.json", "JSON", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 1, 106
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\package-lock.json", "JSON", 0, 0, 14063, 0, 0, 0, 0, 0, 0, 0, 1, 14064
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\package.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\server.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 11, 57
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\alojamiento\alojamiento.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\alojamiento\alojamiento.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\alojamiento\alojamiento.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.config.server.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.config.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 3, 132
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\authentication.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\authentication.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\authentication.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\login\login.component.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 1, 37
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\login\login.component.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\registre\registre.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\registre\registre.component.html", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 1, 74
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\authentication\registre\registre.component.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 7, 51
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\dashboard.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 0, 46
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 9, 70
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offer\offer.component.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offer\offer.component.html", "HTML", 0, 0, 0, 0, 173, 0, 0, 0, 0, 18, 9, 200
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offer\offer.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offer\offer.component.ts", "TypeScript", 0, 0, 0, 126, 0, 0, 0, 0, 0, 15, 14, 155
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offer\offer.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 6, 42
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offers-list\offers-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offers-list\offers-list.component.html", "HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 9, 2, 108
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offers-list\offers-list.component.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\offers-list\offers-list.service.ts", "TypeScript", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 5, 219
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\payment-list\payment-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\payment-list\payment-list.component.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 71
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\payment-list\payment-list.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\payment-list\payment-list.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\perfil\perfil.component.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\perfil\perfil.component.html", "HTML", 0, 0, 0, 0, 116, 0, 0, 0, 0, 25, 9, 150
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\perfil\perfil.component.ts", "TypeScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 6, 17, 140
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\perfil\perfil.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\pages\perfil\perfil.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\dashboard\servicio-dashboard.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\search-bar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\search-bar.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\search-bar.component.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 12, 71
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion1\opcion1.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion1\opcion1.component.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 0, 31
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion1\opcion1.component.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion1\opcion1.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion2\opcion2.component.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 2, 10
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion2\opcion2.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 0, 38
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion2\opcion2.component.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 9, 75
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion2\opcion2.service.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion3\opcion3.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion3\opcion3.component.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 0, 35
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion3\opcion3.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 8, 46
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\alojamiento\opcion3\opcion3.service.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion1\opcion1.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion1\opcion1.component.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion1\opcion1.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion1\opcion1.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion2\opcion2.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion2\opcion2.component.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion2\opcion2.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\atraccion-turistica\opcion2\opcion2.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion1\opcion1.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion1\opcion1.component.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 8
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion1\opcion1.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 0, 32
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 7, 45
